store_id,upc_code,item_name,date,amount,quantity,unit_price,category,size,msu
90,00252179000002,CHICKEN SALAD B,2014-01-02,43.96,4.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-01-03,32.97,3.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-01-04,65.94,6.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-01-05,54.95,5.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-01-06,65.94,6.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-01-07,32.97,3.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-01-08,87.92,8.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-01-09,76.93,7.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-01-10,65.94,6.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-01-11,54.95,5.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-01-12,54.95,5.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-01-13,43.96,4.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-01-14,87.92,8.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-01-15,76.93,7.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-01-16,98.91,9.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-01-17,32.97,3.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-01-18,43.96,4.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-01-19,87.92,8.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-01-20,87.92,8.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-01-21,54.95,5.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-01-22,65.94,6.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-01-23,43.96,4.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-01-24,87.92,8.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-01-25,43.96,4.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-01-26,76.93,7.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-01-27,142.87,13.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-01-28,32.97,3.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-01-29,54.95,5.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-01-30,87.92,8.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-01-31,43.96,4.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-02-01,98.91,9.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-02-02,65.94,6.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-02-03,65.94,6.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-02-04,76.93,7.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-02-05,43.96,4.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-02-06,98.91,9.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-02-07,32.97,3.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-02-08,10.99,1.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-02-09,87.92,8.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-02-10,21.98,2.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-02-17,87.92,8.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-02-18,120.89,11.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-02-19,21.98,2.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-02-21,76.93,7.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-02-22,10.99,1.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-02-23,21.98,2.0,10.99,,EACH,1
90,00252179000002,CHICKEN SALAD B,2014-02-24,76.93,7.0,10.99,,EACH,1
