store_id,upc_code,item_name,date,amount,quantity,unit_price,category,size,msu
90,00000000712927,SOURDOUGH SLICED,2014-01-03,27.5,5.0,5.5,,48 OUNCE,1
90,00000000712927,SOURDOUGH SLICED,2014-01-10,5.5,1.0,5.5,,48 OUNCE,1
90,00000000712927,SOURDOUGH SLICED,2014-01-14,5.5,1.0,5.5,,48 OUNCE,1
90,00000000712927,SOURDOUGH SLICED,2014-01-23,11.0,2.0,5.5,,48 OUNCE,1
90,00000000712927,SOURDOUGH SLICED,2014-01-24,5.5,1.0,5.5,,48 OUNCE,1
90,00000000712927,SOURDOUGH SLICED,2014-01-25,5.5,1.0,5.5,,48 OUNCE,1
90,00000000712927,SOURDOUGH SLICED,2014-01-28,11.0,2.0,5.5,,48 OUNCE,1
90,00000000712927,SOURDOUGH SLICED,2014-01-29,5.5,1.0,5.5,,48 OUNCE,1
90,00000000712927,SOURDOUGH SLICED,2014-01-31,5.5,1.0,5.5,,48 OUNCE,1
90,00000000712927,SOURDOUGH SLICED,2014-02-02,11.0,2.0,5.5,,48 OUNCE,1
90,00000000712927,SOURDOUGH SLICED,2014-02-03,5.5,1.0,5.5,,48 OUNCE,1
90,00000000712927,SOURDOUGH SLICED,2014-02-06,5.5,1.0,5.5,,48 OUNCE,1
90,00000000712927,SOURDOUGH SLICED,2014-02-13,5.5,1.0,5.5,,48 OUNCE,1
90,00000000712927,SOURDOUGH SLICED,2014-02-20,5.5,1.0,5.5,,48 OUNCE,1
90,00000000712927,SOURDOUGH SLICED,2014-03-01,11.0,2.0,5.5,,48 OUNCE,1
90,00000000712927,SOURDOUGH SLICED,2014-03-02,5.5,1.0,5.5,,48 OUNCE,1
90,00000000712927,SOURDOUGH SLICED,2014-03-05,5.5,1.0,5.5,,48 OUNCE,1
90,00000000712927,SOURDOUGH SLICED,2014-03-09,5.5,1.0,5.5,,48 OUNCE,1
90,00000000712927,SOURDOUGH SLICED,2014-03-10,5.5,1.0,5.5,,48 OUNCE,1
90,00000000712927,SOURDOUGH SLICED,2014-03-14,5.5,1.0,5.5,,48 OUNCE,1
90,00000000712927,SOURDOUGH SLICED,2014-03-23,5.5,1.0,5.5,,48 OUNCE,1
90,00000000712927,SOURDOUGH SLICED,2014-03-24,5.5,1.0,5.5,,48 OUNCE,1
90,00000000712927,SOURDOUGH SLICED,2014-03-30,11.0,2.0,5.5,,48 OUNCE,1
90,00000000712927,SOURDOUGH SLICED,2014-04-18,5.5,1.0,5.5,,48 OUNCE,1
90,00000000712927,SOURDOUGH SLICED,2014-04-20,5.5,1.0,5.5,,48 OUNCE,1
90,00000000712927,SOURDOUGH SLICED,2014-05-01,5.5,1.0,5.5,,48 OUNCE,1
90,00000000712927,SOURDOUGH SLICED,2014-05-25,5.5,1.0,5.5,,48 OUNCE,1
90,00000000712927,SOURDOUGH SLICED,2014-06-05,5.5,1.0,5.5,,48 OUNCE,1
90,00000000712927,SOURDOUGH SLICED,2014-06-07,11.0,2.0,5.5,,48 OUNCE,1
90,00000000712927,SOURDOUGH SLICED,2014-06-11,5.5,1.0,5.5,,48 OUNCE,1
