store_id,upc_code,item_name,date,amount,quantity,unit_price,category,size,msu
90,257268000000,ASIAN CHICKEN SA,1/2/2014,17,2,8.5,,EACH,1
90,257268000000,ASIAN CHICKEN SA,1/3/2014,17,2,8.5,,EACH,1
90,257268000000,ASIAN CHICKEN SA,1/4/2014,8.5,1,8.5,,EACH,1
90,257268000000,ASIAN CHICKEN SA,1/5/2014,8.5,1,8.5,,EACH,1
90,257268000000,ASIAN CHICKEN SA,1/6/2014,17,2,8.5,,EACH,1
90,257268000000,ASIAN CHICKEN SA,1/8/2014,25.5,3,8.5,,EACH,1
90,257268000000,ASIAN CHICKEN SA,1/9/2014,8.5,1,8.5,,EACH,1
90,257268000000,ASIAN CHICKEN SA,1/10/2014,25.5,3,8.5,,EACH,1
90,257268000000,ASIAN CHICKEN SA,1/13/2014,34,4,8.5,,EACH,1
90,257268000000,ASIAN CHICKEN SA,1/15/2014,34,4,8.5,,EACH,1
90,257268000000,ASIAN CHICKEN SA,1/16/2014,42.5,5,8.5,,EACH,1
90,257268000000,ASIAN CHICKEN SA,1/17/2014,25.5,3,8.5,,EACH,1
90,257268000000,ASIAN CHICKEN SA,1/18/2014,34,4,8.5,,EACH,1
90,257268000000,ASIAN CHICKEN SA,1/19/2014,17,2,8.5,,EACH,1
90,257268000000,ASIAN CHICKEN SA,1/20/2014,8.5,1,8.5,,EACH,1
90,257268000000,ASIAN CHICKEN SA,1/21/2014,8.5,1,8.5,,EACH,1
90,257268000000,ASIAN CHICKEN SA,1/22/2014,25.5,3,8.5,,EACH,1
90,257268000000,ASIAN CHICKEN SA,1/23/2014,17,2,8.5,,EACH,1
90,257268000000,ASIAN CHICKEN SA,1/25/2014,8.5,1,8.5,,EACH,1
90,257268000000,ASIAN CHICKEN SA,1/26/2014,17,2,8.5,,EACH,1
90,257268000000,ASIAN CHICKEN SA,1/27/2014,34,4,8.5,,EACH,1
90,257268000000,ASIAN CHICKEN SA,1/29/2014,17,2,8.5,,EACH,1
90,257268000000,ASIAN CHICKEN SA,1/30/2014,8.5,1,8.5,,EACH,1
90,257268000000,ASIAN CHICKEN SA,1/31/2014,8.5,1,8.5,,EACH,1
90,257268000000,ASIAN CHICKEN SA,2/1/2014,17,2,8.5,,EACH,1
90,257268000000,ASIAN CHICKEN SA,2/2/2014,25.5,3,8.5,,EACH,1
90,257268000000,ASIAN CHICKEN SA,2/3/2014,34,4,8.5,,EACH,1
90,257268000000,ASIAN CHICKEN SA,2/4/2014,8.5,1,8.5,,EACH,1
90,257268000000,ASIAN CHICKEN SA,2/5/2014,8.5,1,8.5,,EACH,1
90,257268000000,ASIAN CHICKEN SA,2/6/2014,8.5,1,8.5,,EACH,1
90,257268000000,ASIAN CHICKEN SA,2/7/2014,42.5,5,8.5,,EACH,1
90,257268000000,ASIAN CHICKEN SA,2/8/2014,8.5,1,8.5,,EACH,1
90,257268000000,ASIAN CHICKEN SA,2/12/2014,17,2,8.5,,EACH,1
