store_id,upc_code,item_name,date,amount,quantity,unit_price,category,size,msu
90,00257255000006,CAESAR SALAD WIT,2014-01-02,6.95,1.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-01-03,13.9,2.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-01-04,13.9,2.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-01-05,20.85,3.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-01-08,27.8,4.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-01-10,20.85,3.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-01-13,27.8,4.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-01-15,6.95,1.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-01-16,48.65,7.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-01-17,13.9,2.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-01-18,6.95,1.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-01-19,13.9,2.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-01-20,20.85,3.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-01-22,6.95,1.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-01-23,20.85,3.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-01-25,27.8,4.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-01-26,13.9,2.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-01-27,6.95,1.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-01-28,13.9,2.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-01-29,6.95,1.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-01-30,6.95,1.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-01-31,13.9,2.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-02-01,13.9,2.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-02-02,13.9,2.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-02-05,13.9,2.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-02-06,13.9,2.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-02-07,6.95,1.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-02-08,20.85,3.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-02-12,34.75,5.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-02-13,34.75,5.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-02-14,27.8,4.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-02-15,41.7,6.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-02-16,6.95,1.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-02-18,20.85,3.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-02-19,27.8,4.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-02-20,6.95,1.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-02-21,20.85,3.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-02-22,13.9,2.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-02-23,20.85,3.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-02-24,13.9,2.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-02-25,20.85,3.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-02-26,20.85,3.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-03-02,6.95,1.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-03-03,41.7,6.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-03-04,13.9,2.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-03-05,20.85,3.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-03-06,13.9,2.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-03-07,20.85,3.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-03-08,20.85,3.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-03-10,20.85,3.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-03-11,20.85,3.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-03-12,6.95,1.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-03-13,34.75,5.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-03-15,20.85,3.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-03-16,6.95,1.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-03-17,13.9,2.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-03-18,6.95,1.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-03-19,20.85,3.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-03-20,20.85,3.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-03-21,27.8,4.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-03-22,20.85,3.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-03-25,48.65,7.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-03-26,13.9,2.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-03-27,13.9,2.0,6.95,,EACH,1
90,00257255000006,CAESAR SALAD WIT,2014-03-28,13.9,2.0,6.95,,EACH,1
