Date,Day,Event,WeekEnd,Holiday,LongVacation,HighSales
16/12/2018,Sunday,Prior Christmas/Las Posadas,1,0,0,1
17/12/2018,Monday,Prior Christmas/Las Posadas,1,0,0,1
18/12/2018,Tuesday,Prior Christmas/Las Posadas,0,0,0,1
19/12/2018,Wednesday,Prior Christmas/Las Posadas,0,0,0,1
20/12/2018,Thursday,Prior Christmas/Las Posadas,0,0,0,1
21/12/2018,Friday,Prior Christmas/Las Posadas,0,1,1,1
22/12/2018,Saturday,Prior Christmas/Las Posadas,0,1,1,1
23/12/2018,Sunday,Prior Christmas/Las Posadas,1,1,1,1
24/12/2018,Monday,Prior Christmas/Las Posadas,1,1,1,1
25/12/2018,Tuesday,Christmas,0,1,1,1
26/12/2018,Wednesday,Christmas Day (in lieu),0,1,1,1
27/12/2018,Thursday,New year's eve,0,1,1,1
28/12/2018,Friday,New year's eve,0,1,1,1
29/12/2018,Saturday,New year's eve,0,1,1,1
30/12/2018,Sunday,New year's eve,1,1,1,1
31/12/2018,Monday,New year's eve,1,1,1,1
